Cube;Реестр соглашений (CRDO01)
BgLevels ;09-0  -   09000-уровень бюджета не определен
BgLevels ;09-1  -   09001-федеральный бюджет
BgLevels ;09-2  -   09002-бюджет субъекта Российской Федерации
BgLevels ;09-3  -   09003-местный бюджет
BgLevels ;09-4  -   09004-бюджет городского округа
BgLevels ;09-5  -   09005-бюджет муниципального района
BgLevels ;09-6  -   09006-бюджет городского поселения
BgLevels ;09-7  -   09007-бюджет сельского поселения
BgLevels ;09-8  -   09008-бюджет государственного внебюджетного фонда Российской Федерации
BgLevels ;09-9  -   09009-бюджет Пенсионного фонда Российской Федерации
BgLevels ;09-10  -   090010-бюджет Фонда социального страхования Российской Федерации
BgLevels ;09-11  -   090011-бюджет Федерального фонда обязательного медицинского страхования
BgLevels ;09-12  -   090012-бюджет территориального государственного внебюджетного фонда
OrgTypes ;36-1  -   36001-федеральный орган государственной власти, федеральный государстве
OrgTypes ;36-2  -   36002-орган управления государственным внебюджетным фондом
OrgTypes ;36-3  -   36003-учреждение
OrgTypes ;36-4  -   36004-унитарное предприятие
OrgTypes ;36-5  -   36005-государственная корпорация, государственная компания (в том числе
OrgTypes ;36-6  -   36006-иное юридическое лицо
OrgTypes ;36-0  -   36000-тип не определен
InstituteTypes ;31-0  -   31000-Тип учреждения не указан
InstituteTypes ;31-1  -   31001-Федеральный орган государственной власти, федеральный государстве
InstituteTypes ;31-2  -   31002-Орган управления государственным внебюджетным фондом
InstituteTypes ;31-3  -   31003-Бюджетное
InstituteTypes ;31-4  -   31004-Организация с долей государственного участия
InstituteTypes ;31-5  -   31005-Унитарное предприятие
InstituteTypes ;31-6  -   31006-Субъект естественных монополий
InstituteTypes ;31-7  -   31007-Иная организация (Используется для учета негосударственных органи
InstituteTypes ;31-8  -   31008-Казенное
InstituteTypes ;31-9  -   31009-Государственная корпорация, государственная компания (в том числе
InstituteTypes ;31-10  -   310010-Автономное
InstituteTypes ;31-11  -   310011-Организация, осуществляющая регулируемые виды деятельности
InstituteTypes ;31-12  -   310012-Хозяйственное общество, с долей государства, муниципального образ
InstituteTypes ;31-13  -   310013-Дочернее хозяйственное общество
InstituteTypes ;31-14  -   310014-Специализированная организация
InstituteTypes ;31-15  -   310015-Оператор официального сайта
InstituteTypes ;31-16  -   310016-Оператор электронной площадки
InstituteTypes ;31-17  -   310017-Орган аудита
InstituteTypes ;31-18  -   310018-Банк
InstituteTypes ;31-19  -   310019-Орган контроля
InstituteTypes ;31-20  -   310020-Иное юридическое лицо
OKFS ;39-1  -   39001-Наименование по ОКФС
OKFS ;39-2  -   39002-Федеральная собственность
OKFS ;39-4  -   39004-Собственность субъектов Российской Федерации
OKFS ;39-3  -   39003-Муниципальная собственность
OKOPF ;38-7  -   38007-Учреждение
OKOPF ;38-8  -   38008-Представительства и филиалы
OKOPF ;38-1  -   38001-Наименование по ОКОПФ
OKOPF ;38-9  -   38009-Автономные учреждения
OKOPF ;38-2  -   38002-Филиалы юридических лиц
OKOPF ;38-10  -   380010-Обособленные подразделения юридических лиц
OKOPF ;38-11  -   380011-Федеральные государственные унитарные предприятия
OKOPF ;38-3  -   38003-Муниципальные унитарные предприятия
OKOPF ;38-12  -   380012-Государственные корпорации
OKOPF ;38-4  -   38004-Федеральные государственные бюджетные учреждения
OKOPF ;38-13  -   380013-Федеральные государственные казенные учреждения
OKOPF ;38-14  -   380014-Государственные автономные учреждения субъектов Российской Федера
OKOPF ;38-15  -   380015-Государственные бюджетные учреждения субъектов Российской Федерац
OKOPF ;38-16  -   380016-Государственные казенные учреждения субъектов Российской Федераци
OKOPF ;38-17  -   380017-Муниципальные автономные учреждения
OKOPF ;38-5  -   38005-Муниципальные бюджетные учреждения
OKOPF ;38-6  -   38006-Муниципальные казенные учреждения
OKOPF ;38-18  -   380018-Муниципальные бюджетные учреждения
OKOGU ;40-0  -   40000-Неуказанное наименование
OKOGU ;40-1  -   40001-OKOGUName
OKOGU ;40-3  -   40003-Федеральная служба Российской Федерации по контролю за оборотом н
OKOGU ;40-4  -   40004-Федеральная служба охраны Российской Федерации (федеральная служб
OKOGU ;40-5  -   40005-- труда и социальных вопросов
OKOGU ;40-6  -   40006-Представительные органы муниципальных образований
OKOGU ;40-2  -   40002-Местные администрации (исполнительно-распорядительные органы мун
OKOGU ;40-7  -   40007-Местные администрации (исполнительно-распорядительные органы гор
OKOGU ;40-8  -   40008-Местные администрации (исполнительно-распорядительные органы гор
OKOGU ;40-9  -   40009-Местные администрации (исполнительно-распорядительные органы сел
OKOGU ;40-10  -   400010-Государственная корпорация по атомной энергии 'Росатом'
OrgStatuses ;37-0  -   37000-статус не определен
OrgStatuses ;37-1  -   37001-действующая
OrgStatuses ;37-2  -   37002-недействующая
OrgStatuses ;37-3  -   37003-отсутствуют правоотношения
Measures;ORGCOUNT  -   Количество организаций
